label,predict
| menu | keuzes,| menu
| bediening | locatie,| bediening | eten | locatie
| combinaties | eetlust,| hapje | Eten
| pijlinktvis | beslag,| gefrituurde pijlinktvis
| Wildvang gamba,| Wildvang gamba | tom.saus
| zoutkorst | zoutkorst | zoutkorst,| dorade in zoutkorst
| bistro | sfeer,| bistro
| Royal all inclusief menu,| Royal all inclusief menu
| zaak | bediening,| zaak | bediening
| Bediening | trendy retro-interieur,| retro-interieur | Bediening
| Teaser | maltesers,| Teaser
| smaakbommen | combinaties,| gerecht
| restaurant | sfeer in restaurant,| sfeer | Interieur
| bediening,| bediening
| porties | ipv warm (wat nog aanvaardbaar kan zijn) porties,| porties | eten
| portionen | portie | helft van de portie,| portie | eten
| soepkommetje,| rijst
| gerechten | bier,| bier | Eten
| ontbijt | ontbijt,| ontbijt | ontbijt
| personeel,| personeel
| sfeer,| sfeer
| personeel,| personeel
| sfeer | de persoonlijke bediening en de persoonlijke sfeer,| sfeer | bediening | thaische keuken
| gerechten in de mooie tuin en gerechten,| gerechten | tuin
| zeevruchtensalade,| zeevruchtensalade
| kader,| kader
| interior | demping,| interieur
| soepje met groentenblokjes in een wazig vocht,| soepje met groenten
| indier,| indier
| bediening | uitbater,| uitbater | bediening
| bediening,| bediening
| frituur | prijzen,| frieten | frituur
| service | restaurant,| restaurant | service
| Marmiet,| Marmiet
| restaurant | gerechten gebracht aan democratie prijzen,| gerechten | gerechten | restaurant
| tapas vooraf,| tapas
| ontvangst door gastvrouw,| gastvrouw
| restaurant | restaurant,| restaurant
| kaart wisselt regelmatig en,| kaart
| restaurant,| restaurant
| gerechten eraan de gastvrouw,| gastvrouw | gerechten | gerechten
| Sfeer | sfeer | food | niveau,| Sfeer | eten
| bediening | bediening,| bediening | fondue
| Scampi in de bloemige Saus,| Scampi
| Steak bearnaise,| Steak bearnaise
| Frietjes,| Frietjes
| vrienden,| stoofpotjes van kabeljauw
| Personeel | restaurant,| Personeel
| ligging | terras,| terras | ligging
| bediening,| keuken | bediening
| zaak vol zit | bediening en fouten,| bediening
| salade nicoise | salade nicoise,| salade nicoise
| zaak,| zaak
| ober | platte oesters,| platte oesters
| garnaalkroketjes | steaks | garnaalkroketjes | steaks | steaks | garnaalkroketjes | steaks | garnaalkroketjes | steaks | steaks | garnaalkroketjes | steaks | steaks | garnaalkroketjes | steaks | steaks | garnaalkroketjes | steaks | garnaalkroketjes | steaks | garnaalkroketjes | steaks,| vlees | restaurant | garnaalkroketjes
| bediening | restaurant,| bediening
| aparte inkom | blik inkom | aparte inkom | persoonlijk onthaal | blik inkom | antieke interieur belicht of juweel | blik inkom | aparte inkom | persoonlijk onthaal | blik inkom | antieke interior,| kwaliteitskreeften | bediening | onthaal | inkom
| bediening | kreeft menu Eliot | bediening | kreeft menu Eliot | bediening | lekkere kreeftjes | bediening | lekkere kreeftjes | bediening | menu Eliot,| bediening | kreeftjes | restaurant
| kreeft restaurant,| kreeftenrestaurant
| Kreeft,| Kreeft
| sfeer in restaurant zelf,| restaurant
| bediening,| bediening
| restaurant binnen muren van het Mariott hotel | restaurant,| restaurant
| cateraar,| cateraar
| menuutje om uit te kiezen | half menu of de half menu | à la carte keuzes,| menuutje
| Karel de Stoute | Karel de Stoute | wines | Karel de Stoute | Karel de Stoute | Karel de Stoute | Karel de Stoute | wines,| keuken | keuken
| bediening door jonge obers,| obers
| interieur | restaurant | 'hotelsfeer',| interieur
| restaurant | food | restaurant,| restaurant
| tafel achteraan aan de keukenramen | dinner,| Tafel
| Apertief Hugo,| Aperitief Hugo | Aperitief Hugo
| laatste,| Het laatste
| Hapje (te delen),| Hapje | Hapje
| jacobsvrucht),| Voorgerecht
| aardappeltjes waren taai en eend | aardappeltjes waren taai en eend,| saus | aardappeltjes | Hoofdgerecht
| pizza's | bediening | pizza's | bediening,| personeel | bediening | pizza's
| restaurant,| restaurant
| restaurant | restaurant,| eten | restaurant
| pizza's,| Kaart
| Bediening,| Bediening
| ijsjes fan,| ijs
| Decadenza,| ijs
| Bediening voor Belgian begrippen,| Bediening
| keuze op de kaart | variatie,| kaart
| bediening | gasten,| bediening
| muziek tijdens restaurant,| muziek
| hammetje in mosterdsaus | vlees met knapperige salade,| hammetje in mosterdsaus
| chocolademousse | toetje,| chocolademousse
| tongreepjes | brokjes | smaakloos en zeer klein ( brokjes),| tongreepjes | tongreepjes
| wijn | kleine 1/2L,| wijn | wijn
| Bediening | interieur | interieur,| interieur | Bediening
| Eten,| Eten
| vispannetje,| Vispannetje
| Borden | Borden,| Borden
| vlees | frituur,| Stoofvlees
| Frieten vanuit de diepvrieszakken,| Frieten
| chocolade mouse,| chocolade mouse
| restaurant Zeno,| restaurant Zeno
| Zeno,| Zeno
| Zeno,| interieur
| Zeno,| Zeno
| restaurant,| restaurant
| vrouw,| vrouw
"| Respect voor haar, in je eentje elf tafels lopen",| haar
| restaurant,| restaurant
| restaurant,| restaurant
| stoofschotel,| Vlaamse stoofschotel
| portie | Belgische friet,| Belgische friet | portie
| huiswijn | huiswijn,| huiswijn | huiswijn
| bediening,| bediening
| restaurant,| restaurant
| bediening,| bediening
| wijn | wijn,| wijn
| spareribs | ribs,| spareribs
| Personeels | bediening,| Personeel
| Nacho's vooraf lekker (en kleine portie),| portie | Nacho's
| vlees | vlees,| vlees
| brood met rozijnen,| brood met rozijnen | gebakjes
| bediening | patissier,| bediening | patissier
| Books en Brunch,| Books en Brunch
| ontbijt | chocomelk | chocomelk | chocomelk,| koffie en chocomelk | ontbijt | ontbijt
| eet,| eten
| bediening,| bediening
| gastdame,| gastdame
| concept,| concept
| restaurant | Brugge,| restaurant
| Brunch,| Books en Brunch
| Brugge,| Books & Brunch
| place | etablissement,| etablissement
| concept,| concept
| dinner | lekker | ingredients,| eten
| sfeer in Books & Brunch,| sfeer
| zaak,| Mevrouw
| place om te komen lunchen of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone of MacBook of iPhone,| plek | thee of koffie
| Brugge,| Books & Brunch
| tentje | ice tea,| home-made ice tea | bediening | tentje
| menu | appetten | appet,| menu
| bediening | bediening,| bediening
| bediening | avond | bediening,| bediening
| sfeer | avond,| sfeer
| viergangen menu | vegetarisch viergangen menu,| vegetarisch viergangen menu
| amuse | tapenade van olijven en lekker lekker,| tapenade van olijven
| coeur de boeuf,| voorgerechtjes | voorgerechtje van coeur de boeuf
| vlees gewoon weg',| veganistische lasagne
| pesto van basilicum | pesto van basilicum,| gerecht | pesto van basilicum
| dessert | vegan chocolade mousse,| vegan chocolade mousse
| pure chocoladesmaak | sinaasappelschijfjes,| chocoladesmaak
| mooi stad,| zoiets
"| Cola 40cl €5,80, voor bruggeling €3, gelukkig",| Cola
"| jupiler 25cl €7.00 Koffie €7.00 Koffie €2,50",| Jupiler | Witte wijn | Koffie
| place,| plaats
| gerechten | soorten salades | soorten salades,| kaart
| bediening | vlees | penne | groentjes | groentjes | vlees | bediening,| sausjes | frietjes | vlees | vlees | bediening | groentjes
| soep van het dagmenu,| soep
| roosje broccoli,| groente | vis
| mcdonalds restaurant,| mcdonalds restaurant | mcdonalds restaurant
| zaak,| zaak
| prijskaart (zoals eurodeals),| prijskaart
| zwartharige lesbi ober,| zwartharige lesbische ober
| restaurant | karnemelkstampers op kaart,| restaurant
| Menu | menu,| Menu
| mensen,| mensen
| Kaart | tafels | tafels,| tafels | Kaart
| Eten,| Eten
| kip | sla | fries | fries,| sla | kip | frietjes
| onthaal | zaterdagavond,| onthaal
| menu | menu,| Menu
| Garnaalkroketjes in huis gemaakt,| Garnaalkroketjes
| portie,| Halve kreeft
| bediening,| bediening
| lunchmenu | lunchmenu,| lunchmenu | lunchmenu
| keuze en porties,| porties | keuze
| garnaalkroket,| Garnaalkroket
| bediening | olijven bij de apero,| bediening | olijven
| ober,| ober
| ober | spek en bonenen bonen en bonenen,| ober
| ober | ober,| ober
| lodge,| The lodge
| ober,| ober
| salade met scampi,| salade met scampi | hapje
| restaurant,| restaurant
| smaakcombinaties | wijnen | smaakcombinaties en mousses en mousses,| bijpassende wijnen | smaakcombinaties
| keuken,| keuken
| sfeer | food | tralala | sfeer | lekkere sfeer | food | Prix-kwaliteit,| eten | eten | eten | sfeer
| vingertje,| man
| man,| man
| zaakje,| zaakje
| spaghetti en een karafje wijn,| karafje wijn
| eigenares,| eigenares
| restaurant,| restaurant
| plekken sluiten ze gewoon onmiddellijk,| plekken
| take-away,| take-away
| pizza | smaak,| pizza
| prijzen | restaurant,| afhaalpizza
| brunch | drank genoeg,| drank | eten
| mens,| eten
| half en half | half en half,| half en half
| borrelhapjes | smaak van de borrelhapjes,| borrelhapjes | eten
| Gempemolen,| Gempemolen
| soep met allerlei lekkere groentjes,| groentjes | zwijnshaasje | groentjes
| vegetarische schotel,| vegetarische schotel
| dessert,| dessert
| Brasserie | Meus Clan,| Brasserie
| decor | interior | interieur | interieur,| eten | interieur | Omgeving
| Michelinster,| Lieven en Iris
| lompe frieten serveren (zonder meerprijs),| frieten
| bediening,| bediening
| eigenaar,| eigenaar
| Le Kok,| Le Kok
| chef,| chef | chef
| interieur,| interieur
| bediening | principe | bediening | service,| bediening | gast vrouw
| restaurant | open keuken en rustik kader,| Restaurant
| chef | m ijn man,| mayo | chef | mosselsaus | frietjes
"| azijn | azijn | dressing in, azijn | azijn | azijn | azijn | azijn | azijn | azijn | azijn | azijn | azijn | dressing in",| chef | mayo
| kindere hebben honger | eet | kindere,| ene
| man betaald en garcon,| garcon
| baseballknuppel langs mij,| baas
| dinner | appet,| eten
| dame bracht vragen ervoor iedereen,| dame
| personeel ,| personeel
| restaurant,| restaurant
| Eten | | Eten,| Eten
| service,| service
| frietjes,| frietjes
| aperitief,| hapjes | hapjes
| menu zelf | menu zelf,| menu
| Bistronomy,| The Bistronomy
| smaakcombinaties,| smaakcombinaties | smaakcombinaties
| place,| This
| robot gastvrouw,| robot gastvrouw
| meisje,| meisje
| bediening | slecht een bediening | bediening,| eten | bediening
| bediening | slecht een bediening | bediening,| eten | bediening
| Chi-Chi's Wemmel,| Chi-Chi's Wemmel
| zaak open houden indien u de zaak open wenst,| personeel
| staff,| personeel
| personeel | bestelling,| personeel
| buffet,| buffet
| personeel ,| personeel
| food | buffet | buffet,| voedsel
| personeel,| personeel
| meisje,| meisje
| servertten eraan kaarten eraan kaarten,| servetten | kaarten
| gastvrouw,| gastvrouw
| gerecht,| voorgerecht
| porties | vlees | porties | vlees,| vlees | porties
| salade | frieten uit de diepvries,| salade | frieten
| bediening,| bediening
| Leefe uit het vat,| Leefe
| koninginnenhapje | koninginnenhapje | koninginnenhapje | rest | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhapje | koninginnenhap,| rest
| inrichting | gerechten | bediening | gerechten,| gerechten | bediening | bestek | inrichting
